Company Rank,Tier,Company,Role,Location,Posted/Age,Apply URL,Source,Fit track
11,Stretch / slightly out of reach,Notion,Software Engineer  New Grad - AI,SF,1mo,https://jobs.ashbyhq.com/notion/7e6dc7fe-7ddd-42c1-8928-13f7bddb9ec9/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
11,Stretch / slightly out of reach,Notion,Software Engineer  New Grad,SF,1mo,https://jobs.ashbyhq.com/notion/a6311f97-4850-4674-a5f3-d9fe5f6f2555/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
12,Stretch / slightly out of reach,Figma,"Data Scientist, Core Data","New York, NY; San Francisco, CA",1mo,https://job-boards.greenhouse.io/figma/jobs/5976930004?gh_jid=5976930004&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
13,Stretch / slightly out of reach,ServiceNow,"Associate Software Engineer, Search Infrastructure - Moveworks","Mountain View, CA",27d,https://jobs.smartrecruiters.com/ServiceNow/99c06c61-284f-4c2b-bd4d-1a7b53bf3fa4?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
13,Stretch / slightly out of reach,ServiceNow,"Associate Software Engineer, Core Infrastructure - Moveworks","Mountain View, CA",27d,https://jobs.smartrecruiters.com/ServiceNow/2274d8e3-af4a-4935-b065-f65622b5ea3f?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
14,Stretch / slightly out of reach,Twitch,Software Engineer 1,"Seattle, WA; SF",18d,https://job-boards.greenhouse.io/twitch/jobs/8548960002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
14,Stretch / slightly out of reach,Twitch,Software Engineer 1,SF,18d,https://job-boards.greenhouse.io/twitch/jobs/8367555002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
14,Stretch / slightly out of reach,Twitch,Software Engineer 1,SF,1mo,https://job-boards.greenhouse.io/twitch/jobs/8367602002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
14,Stretch / slightly out of reach,Twitch,Software Engineer 1,SF,1mo,https://job-boards.greenhouse.io/twitch/jobs/8519628002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
14,Stretch / slightly out of reach,Twitch,Software Engineer 1 - Commerce Engineering,"Seattle, WA; SF",2mo,https://job-boards.greenhouse.io/twitch/jobs/8459320002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
15,Stretch / slightly out of reach,Glean,Software Engineer New Grad,California,25d,https://job-boards.greenhouse.io/gleanwork/jobs/4592324005?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
16,Stretch / slightly out of reach,Citadel Securities,Software Engineer  University Graduate - US,"Miami, FL; NYC",7mo,https://www.citadelsecurities.com/careers/details/software-engineer-university-graduate-us/?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
17,Stretch / slightly out of reach,Hudson River Trading,Junior Crypto Electronic Trading Support Engineer,"London, UK",6mo,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7351141&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
18,Stretch / slightly out of reach,Aquatic Capital Management,Software Engineer  Early Career,"Chicago, IL; NYC",2mo,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489226002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
19,Stretch / slightly out of reach,Susquehanna International Group (SIG),Fixed Income Trading Analyst - Early Careers,"London, UK",1mo,https://careers-sig.icims.com/jobs/10827/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
19,Stretch / slightly out of reach,Susquehanna International Group (SIG),Quantitative Strategy Developer New Grad,"Ardmore, PA",4mo,https://careers-sig.icims.com/jobs/9531/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
20,Stretch / slightly out of reach,Waymo,Applied Research Scientist  New Grad - Perception Large Language Model/Vision-Language Model - PhD,"SF; Mountain View, CA",2mo,https://careers.withwaymo.com/jobs?gh_jid=7488508&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
21,Stretch / slightly out of reach,Nuro,Software Engineer  New Grad - AI Platform,"Mountain View, CA",7mo,https://nuro.ai/careersitem?gh_jid=7351066&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
22,Stretch / slightly out of reach,Cerebras,ML Stack Optimization Engineer New Grad,"Toronto, ON, Canada",20d,https://boards.greenhouse.io/embed/job_app?token=7620986003&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
23,Stretch / slightly out of reach,Spotify,Machine Learning Engineer 1 - Personalization - Minesweeper,NYC,20d,https://jobs.lever.co/spotify/fd79c3f5-1b2c-47c0-a3c6-4972b559e1c1/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
24,Stretch / slightly out of reach,Intuit,Software Engineer 1,"Mountain View, CA",7mo,https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/87369448720?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
25,Stretch / slightly out of reach,Affirm,Software Engineer 1 - Full-Stack,Remote in USA,1mo,https://job-boards.greenhouse.io/affirm/jobs/7685236003?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
26,Stretch / slightly out of reach,SeatGeek,Software Engineer  New Grad,NYC,1mo,https://seatgeek.com/jobs/7858968?gh_jid=7858968&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
27,Stretch / slightly out of reach,Sigma Computing,Software Engineer New Grad,SF; NYC,1mo,https://job-boards.greenhouse.io/sigmacomputing/jobs/7690411003?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
28,Stretch / slightly out of reach,Orb,Software Engineer  Early Career - Core Product,SF,2mo,https://jobs.ashbyhq.com/orb/b39f70d0-aaa9-46c1-896a-b064a1d3b2cc/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
29,Stretch / slightly out of reach,Continue,Software Engineer  New grad,SF,7mo,https://jobs.ashbyhq.com/continue/219fce3e-7af9-4b00-8fa7-87bf53db72f7/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
30,Stretch / slightly out of reach,8VC,Software Engineer New Grad,SF,4mo,https://jobs.ashbyhq.com/8vc/4fea7270-2409-4701-b147-fc961d95588d/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
31,Reach / within reach,RTX,Software Engineer 1,"Concord, MA; Tewksbury, MA",1d,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-MA-TEWKSBURY-TB3--50-Apple-Hill-Dr--CONCORD-BLDG-Tewksbury-Tb3-300-Concord/XMLNAME-2026--Raytheon-Full-Time--Software-Engineer-I---Onsite-_01848697?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
31,Reach / within reach,RTX,Digital Hardware Engineer 1,"Huntsville, AL",19d,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-AL-HUNTSVILLE-315--315-Bob-Heath-Dr--BOB-HEATH/Digital-Hardware-Engineer-I_01841999-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
32,Reach / within reach,General Dynamics Mission Systems,Entry Level Infrastructure Software Engineer,"Pittsfield, MA",18d,https://careers-gdms.icims.com/jobs/72580/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
32,Reach / within reach,General Dynamics Mission Systems,Software Engineer - Entry Level,"Pittsfield, MA",5d,https://careers-gdms.icims.com/jobs/72777/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
32,Reach / within reach,General Dynamics Mission Systems,Entry Level Software Engineer,"Brooklyn, OH",13d,https://careers-gdms.icims.com/jobs/72592/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
32,Reach / within reach,General Dynamics Mission Systems,Entry Level Software Engineer,"Manassas, VA",17d,https://careers-gdms.icims.com/jobs/72627/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
32,Reach / within reach,General Dynamics Mission Systems,Entry Level Software Engineer,"Scottsdale, AZ",20d,https://careers-gdms.icims.com/jobs/72530/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
33,Reach / within reach,General Dynamics Information Technology,Full Stack Engineer Junior,"Honolulu, HI",15d,https://gdit.wd5.myworkdayjobs.com/external_career_site/job/USA-HI-Camp-Smith/Full-Stack-Engineer-Junior_RQ220280-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
34,Reach / within reach,Blue Origin,Software Development Engineer 1 - Early Career,"Kent, WA",4mo,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Software-Development-Engineer-I---Early-Career--2026-Starts-_R58467?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
34,Reach / within reach,Blue Origin,Avionics Software  Early Career - Embedded - Engineer I,"LA; Kent, WA",4mo,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Avionics-Software--Embedded--Engineer-I---Early-Career--2026-Starts-_R58482?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
35,Reach / within reach,Honeywell,Software Engineer 1,"Phoenix, AZ",3mo,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/137126?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
35,Reach / within reach,Honeywell,Software Engineer 1,"Clearwater, FL",3mo,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/139984?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
35,Reach / within reach,Honeywell,Embedded Engineer 1 New Grad,"St. Charles, IL",19d,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/140055?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
35,Reach / within reach,Honeywell,Embedded Engineer 1,"North Haven, CT",1mo,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/145265?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
35,Reach / within reach,Honeywell,Embedded Engineer 1,"North Haven, CT",1mo,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/145266?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
36,Reach / within reach,Hewlett Packard Enterprise,Software Engineer 1,"Roseville, CA",3mo,https://hpe.wd5.myworkdayjobs.com/acjobsite/job/Roseville-California-United-States-of-America/Software-Engineer-I_1202397?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
37,Reach / within reach,Medtronic,Cloud Software Engineer 1 - Neuro,"Brooklyn Park, MN",4d,https://medtronic.wd1.myworkdayjobs.com/redeploymentmedtroniccareers/job/Fridley-Minnesota-United-States-of-America/Cloud-Software-Engineer-I---Neuro---Rice-Creek-Fridley--MN_R66348?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
38,Reach / within reach,CoStar Group,Software Engineer 1 - C#/.NET/Database,"Irvine, CA",29d,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/Orange-County---CA/Apartmentscom---Software-Engineer-I--C--NET-Database-_R38698?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
39,Reach / within reach,Apex Fintech Solutions,Software Engineer 1 - Aldp,"Austin, TX",10d,https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103501?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
40,Reach / within reach,Travelers,Data Engineer 1 - Multiple Teams,"Atlanta, GA",1mo,https://travelers.wd5.myworkdayjobs.com/External/job/GA---Atlanta/Data-Engineer-I--AWS--Databricks--PySpark-_R-49918?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
40,Reach / within reach,Travelers,Data Engineer 1 - Snowflake,"Hartford, CT; St Paul, MN",1mo,https://travelers.wd5.myworkdayjobs.com/External/job/CT---Hartford/Data-Engineer-I--Snowflake-_R-49667?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
41,Reach / within reach,GM financial,Software Development Engineer 1,"Arlington, TX",1mo,https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2254?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
41,Reach / within reach,GM financial,Software Development Engineer 1,"Arlington, TX",1mo,https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2227?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
41,Reach / within reach,GM financial,Software Development Engineer 1,"Arlington, TX; Irving, TX",1mo,https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2078?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
41,Reach / within reach,GM financial,Software Development Engineer 1,"Arlington, TX; Irving, TX",2mo,https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1991?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
42,Reach / within reach,General Motors,Software Engineer  Early Career - Autonomous Vehicles Software Systems,"Sunnyvale, CA; Warren, MI",2mo,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Sunnyvale-California-United-States-of-America/Software-Engineer--Autonomous-Vehicles-Software-Systems---Early-Career_JR-202604759?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
42,Reach / within reach,General Motors,Software Developer  Early Career,"Markham, ON, Canada",15d,https://generalmotors.wd5.myworkdayjobs.com/en-CA/Careers_GM/job/Markham-Ontario-Canada/Software-Developer---Early-Career_JR-202518755?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
42,Reach / within reach,General Motors,Early Career Software Developer - Brake Controls and Diagnostics,"Markham, ON, Canada; Oshawa, ON, Canada",4d,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Markham-Ontario-Canada/Early-Career-Software-Developer---Brake-Controls-and-Diagnostics_JR-202611503?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
42,Reach / within reach,General Motors,Software Developer  Early Career,"Markham, ON, Canada; Oshawa, ON, Canada",7mo,https://generalmotors.wd5.myworkdayjobs.com/en-US/Careers_GM/job/Markham-Ontario-Canada/Software-Developer---Early-Career_JR-202518896?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
43,Reach / within reach,Worldpay,Software Engineer 1 - Mainframe,"Cincinnati, OH",2mo,https://worldpay.wd5.myworkdayjobs.com/Worldpay_External_Careers_Site/job/CINCINNATI-OHIO/Software-Engineer-I---Mainframe_JR0609191-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
44,Reach / within reach,BCBST,Associate Software Engineer 1,"Chattanooga, TN",5d,https://bcbst.wd1.myworkdayjobs.com/en-US/External/job/USA-TN-Chattanooga-Remote/Associate-Software-Engineer-I_R-49311?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
45,Reach / within reach,LexisNexis Risk Solutions,Data Engineer 1,"Alpharetta, GA",18d,https://relx.wd3.myworkdayjobs.com/en-US/RiskSolutions/job/Alpharetta-GA/Data-Engineer-I_R113132?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
46,Reach / within reach,Esri,Software Development Engineer 1,"St. Louis, MO",4mo,https://www.esri.com/careers/5027588007?gh_jid=5027588007&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
47,Reach / within reach,DAT Freight & Analytics,Software Engineer 1,"Denver, CO",17d,https://careers.dat.com/jobs/5990621004?gh_jid=5990621004&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
48,Reach / within reach,D3,Backend Engineer  New Grad,LA,7mo,https://d3.com/careers?gh_jid=4915295008&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
48,Reach / within reach,D3,Frontend Engineer  New Grad,LA,7mo,https://d3.com/careers?gh_jid=4915213008&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
49,Reach / within reach,Navan,New College Grad Software Engineer - Backend,"Palo Alto, CA",1mo,https://navan.com/careers/openings?gh_jid=7777949&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
50,Reach / within reach,Whoop,Software Engineer 1 - Backend,"Boston, MA",3mo,https://jobs.lever.co/whoop/3b94218d-3a5a-4dd1-91c7-5f18655c93a8/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
50,Reach / within reach,Whoop,Software Engineer 1 - Quality,"Boston, MA",1mo,https://jobs.lever.co/whoop/b7f75849-b5c0-49fe-8d24-50cbb39d284d/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
50,Reach / within reach,Whoop,Software Engineer 1 - Frontend - Growth,"Boston, MA",2mo,https://jobs.lever.co/whoop/27101f2d-abc5-4cf3-aa86-f164e66ecdd8/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
50,Reach / within reach,Whoop,Android Engineer 1 - Growth,"Boston, MA",7mo,https://jobs.lever.co/whoop/c1ee90e7-697b-49c2-b805-fa2c1ee20e4f/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
51,Reach / within reach,Toast,Software Engineer 1 - Fullstack - Employee Development,Canada,12d,https://boards.greenhouse.io/embed/job_app?token=7895601&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
52,Reach / within reach,Instabase,Full-stack Software Engineer New Grad,SF,18d,https://job-boards.greenhouse.io/instabase/jobs/8548929002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
53,Reach / within reach,Ivo,"Software Engineer, Backend","San Francisco, CA",2mo,https://jobs.lever.co/ivo/3ce9dc16-90fd-4b99-b4b9-dfd48ec1a50d?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
53,Reach / within reach,Ivo,"Software Engineer, Frontend","San Francisco, CA",2mo,https://jobs.lever.co/ivo/56746366-28dd-43e4-8457-ba7a17c43b57?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
54,Reach / within reach,Giga AI,Software Engineer  New Grads,NYC,3mo,https://jobs.ashbyhq.com/gigaml/7314c5c1-e3d0-4439-ad9f-b3b09d4dde51/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
54,Reach / within reach,Giga AI,Software Engineer 1 / 2 - New York,NYC,3mo,https://jobs.ashbyhq.com/gigaml/ba9b543d-e85c-4bd1-978b-f838d7a4062f/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
55,Reach / within reach,N1,New Grad Software Engineer - Backend Rust,4 locationsSF; Remote in USA; Europe; NYC,2mo,https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
55,Reach / within reach,N1,New Grad Software Engineer - Full Stack,NYC,7mo,https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
56,Reach / within reach,Nymbus,AI-First Software Engineer  Entry Level,"Atlanta, GA",4mo,https://nymbus.com/careers?gh_jid=5785973004&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
57,Reach / within reach,Wonderschool,Early Career Software Engineer - Applied AI,SF,1mo,https://job-boards.greenhouse.io/wonderschool/jobs/6359139003?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
58,Reach / within reach,Torc Robotics,Software Engineer 1 - Metrics for Release Implementation,Remote in USA,5d,https://job-boards.greenhouse.io/torcrobotics/jobs/8554811002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
58,Reach / within reach,Torc Robotics,Software Engineer 1 - Device Drivers,"Ann Arbor, MI",1mo,https://job-boards.greenhouse.io/torcrobotics/jobs/8492431002?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
